Soil ID, Soil Name                         , Porosity, Field capacity, Friction angle mean (deg), Friction angle std dev (deg), Cohesion mean (kPa), Cohesion std dev (kPa), Ks mean (m/d), Ks std dev (m/d), alpha, n, D50 (mm), percentClaySilt
1      , Sand > SP                         , 0.38    , 0.1           , 36                       , 0                           , 0                  , 0                     , 8600         , 0               , 0.001, 2, 1       , 5
2      , Loamy Sand > SM                   , 0.37    , 0.16          , 34                       , 0                           , 0                  , 0                     , 20           , 0               , 0.001, 2, 1       , 25
3      , Sandy Loam > SM                   , 0.37    , 0.21          , 29.8968749               , 0                           , 1.7703411          , 0                     , 20.5888718   , 0               , 0.001, 2, 1       , 50
4      , Sandy Clay Loam > SC              , 0.4     , 0.36          , 31.4550323               , 0                           , 1.77360794         , 0                     , 14.9045192   , 0               , 0.001, 2, 1       , 50
5      , Sandy Clay > SC                   , 0.4     , 0.32          , 32                       , 0                           , 0                  , 0                     , 20           , 0               , 0.001, 2, 1       , 50
6      , Loam > CL                         , 0.41    , 0.27          , 27                       , 0                           , 2                  , 0                     , 20           , 0               , 0.001, 2, 1       , 50
7      , Silt Loam > ML                    , 0.47    , 0.3           , 28.8020227               , 0                           , 0.06168114         , 0                     , 0.43797072   , 0               , 0.001, 2, 1       , 70
8      , Silt > ML                         , 0.47    , 0.29          , 32.2398161               , 0                           , 2.33833646         , 0                     , 4.68386678   , 0               , 0.001, 2, 1       , 90
9      , Clay Loam > CL                    , 0.41    , 0.29          , 27                       , 0                           , 2                  , 0                     , 20           , 0               , 0.001, 2, 1       , 70
10     , Silty Clay Loam > CL              , 0.41    , 0.28          , 27                       , 0                           , 2                  , 0                     , 20           , 0               , 0.001, 2, 1       , 80
11     , Clay > CH                         , 0.56    , 0.22          , 22                       , 0                           , 2.5                , 0                     , 20           , 0               , 0.001, 2, 1       , 70
12     , Silty Clay > CH                   , 0.56    , 0.2           , 22                       , 0                           , 2.5                , 0                     , 20           , 0               , 0.001, 2, 1       , 80
13     , No Slide                          , 0       , 0.17          , 90                       , 0                           , 999                , 0                     , 20000        , 0               , 0.001, 2, 1       , 50
21     , Sand > SP with Forest             , 0.38    , 0.1           , 36                       , 0                           , 0                  , 0                     , 9300         , 0               , 0.001, 2, 1       , 5
22     , Loamy Sand > SM with Forest       , 0.37    , 0.16          , 34                       , 0                           , 0                  , 0                     , 720          , 0               , 0.001, 2, 1       , 25
23     , Sandy Loam > SM with Forest       , 0.37    , 0.21          , 29.8968749               , 0                           , 1.7703411          , 0                     , 720.5888718  , 0               , 0.001, 2, 1       , 50
24     , Sandy Clay Loam > SC with Forest  , 0.4     , 0.36          , 31.4550323               , 0                           , 1.77360794         , 0                     , 7014.9045192 , 0               , 0.001, 2, 1       , 50
25     , Sandy Clay > SC with Forest       , 0.4     , 0.32          , 32                       , 0                           , 0                  , 0                     , 720          , 0               , 0.001, 2, 1       , 50
26     , Loam > CL with Forest             , 0.41    , 0.27          , 27                       , 0                           , 2                  , 0                     , 720          , 0               , 0.001, 2, 1       , 50
27     , Silt Loam > ML with Forest        , 0.47    , 0.3           , 28.8020227               , 0                           , 0.06168114         , 0                     , 700.43797072 , 0               , 0.001, 2, 1       , 70
28     , Silt > ML with Forest             , 0.47    , 0.29          , 32.2398161               , 0                           , 2.33833646         , 0                     , 704.68386678 , 0               , 0.001, 2, 1       , 90
29     , Clay Loam > CL with Forest        , 0.41    , 0.29          , 27                       , 0                           , 2                  , 0                     , 720          , 0               , 0.001, 2, 1       , 70
30     , Silty Clay Loam > CL with Forest  , 0.41    , 0.28          , 27                       , 0                           , 2                  , 0                     , 720          , 0               , 0.001, 2, 1       , 80
31     , Clay > CH with Forest             , 0.56    , 0.22          , 22                       , 0                           , 2.5                , 0                     , 720          , 0               , 0.001, 2, 1       , 70
32     , Silty Clay > CH with Forest       , 0.56    , 0.2           , 22                       , 0                           , 2.5                , 0                     , 720          , 0               , 0.001, 2, 1       , 80
33     , No Slide with Forest              , 0       , 0.17          , 90                       , 0                           , 999                , 0                     , 20000        , 0               , 0.001, 2, 1       , 50
